id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
sv01-001,001,Tannza,60,Pflanze,,Basis,Häufig,Shigenori Negishi,"normal, reverse",Karmesin & Purpur,Karmesin & Purpur,258
sv01-002,002,Skaraborn,120,Pflanze,,Basis,Ungewöhnlich,Taira Akitsu,"normal, reverse",Karmesin & Purpur,Karmesin & Purpur,258
sv01-003,003,Knilz,60,Pflanze,,Basis,Häufig,kurumitsu,"normal, reverse",Karmesin & Purpur,Karmesin & Purpur,258
sv01-004,004,Kapilz,110,Pflanze,,Rang 1,Ungewöhnlich,Ryuta Fuse,"normal, reverse",Karmesin & Purpur,Karmesin & Purpur,258
sv01-005,005,Tuska,60,Pflanze,,Basis,Häufig,Tika Matsuno,"normal, reverse",Karmesin & Purpur,Karmesin & Purpur,258
sv01-006,006,Noktuska,130,Pflanze,,Rang 1,Ungewöhnlich,DOM,"normal, reverse",Karmesin & Purpur,Karmesin & Purpur,258
sv01-007,007,Tropius,100,Pflanze,,Basis,Häufig,aoki,"normal, reverse",Karmesin & Purpur,Karmesin & Purpur,258
sv01-008,008,Purmel,30,Pflanze,,Basis,Häufig,sowsow,"normal, reverse",Karmesin & Purpur,Karmesin & Purpur,258
sv01-009,009,Puponcho,70,Pflanze,,Rang 1,Häufig,Kagemaru Himeno,"normal, reverse",Karmesin & Purpur,Karmesin & Purpur,258
sv01-010,010,Vivillon,120,Pflanze,,Rang 2,Ungewöhnlich,Atsuko Nishida,"normal, reverse",Karmesin & Purpur,Karmesin & Purpur,258
sv01-011,011,Mähikel,60,Pflanze,,Basis,Häufig,Tika Matsuno,"normal, reverse",Karmesin & Purpur,Karmesin & Purpur,258
sv01-012,012,Chevrumm,130,Pflanze,,Rang 1,Häufig,Gemi,"normal, reverse",Karmesin & Purpur,Karmesin & Purpur,258
sv01-013,013,Felori,70,Pflanze,,Basis,Häufig,Saya Tsuruta,"normal, reverse",Karmesin & Purpur,Karmesin & Purpur,258
sv01-014,014,Feliospa,90,Pflanze,,Rang 1,Ungewöhnlich,Kouki Saitou,"normal, reverse",Karmesin & Purpur,Karmesin & Purpur,258
sv01-015,015,Maskagato,160,Pflanze,,Rang 2,Selten,Ryota Murayama,holo,Karmesin & Purpur,Karmesin & Purpur,258
sv01-016,016,Tarundel,40,Pflanze,,Basis,Häufig,Tika Matsuno,"normal, reverse",Karmesin & Purpur,Karmesin & Purpur,258
sv01-017,017,Tarundel,40,Pflanze,,Basis,Häufig,Pani Kobayashi,"normal, reverse",Karmesin & Purpur,Karmesin & Purpur,258
sv01-018,018,Tarundel,60,Pflanze,,Basis,Häufig,Kouki Saitou,"normal, reverse",Karmesin & Purpur,Karmesin & Purpur,258
sv01-019,019,Spinsidias-ex,260,Pflanze,,Rang 1,Doppelselten,takuyoa,holo,Karmesin & Purpur,Karmesin & Purpur,258
sv01-020,020,Olini,50,Pflanze,,Basis,Häufig,yuu,"normal, reverse",Karmesin & Purpur,Karmesin & Purpur,258
sv01-021,021,Olini,60,Pflanze,,Basis,Häufig,Shibuzoh.,"normal, reverse",Karmesin & Purpur,Karmesin & Purpur,258
sv01-022,022,Olivinio,90,Pflanze,,Rang 1,Häufig,Mina Nakai,"normal, reverse",Karmesin & Purpur,Karmesin & Purpur,258
sv01-023,023,Olithena,150,Pflanze,,Rang 2,Selten,Kouki Saitou,holo,Karmesin & Purpur,Karmesin & Purpur,258
sv01-024,024,Tentagra,50,Pflanze,,Basis,Häufig,Shin Nagasawa,"normal, reverse",Karmesin & Purpur,Karmesin & Purpur,258
sv01-025,025,Tentagra,60,Pflanze,,Basis,Häufig,Tika Matsuno,"normal, reverse",Karmesin & Purpur,Karmesin & Purpur,258
sv01-026,026,Tenterra,120,Pflanze,,Rang 1,Ungewöhnlich,nagimiso,"normal, reverse",Karmesin & Purpur,Karmesin & Purpur,258
