id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
swsh12-001,001,Venonat,60,Grass,,Basic,Common,,"normal, reverse",Silver Tempest,Sword & Shield,245
swsh12-002,002,Venomoth,90,Grass,Venonat,Stage1,Uncommon,,"normal, reverse",Silver Tempest,Sword & Shield,245
swsh12-003,003,Spinarak,60,Grass,,Basic,Common,,"normal, reverse",Silver Tempest,Sword & Shield,245
swsh12-004,004,Ariados,90,Grass,Spinarak,Stage1,Holo Rare,,"reverse, holo",Silver Tempest,Sword & Shield,245
swsh12-005,005,Sunkern,40,Grass,,Basic,Common,,"normal, reverse",Silver Tempest,Sword & Shield,245
swsh12-006,006,Sunflora,90,Grass,Sunkern,Stage1,Uncommon,,"normal, reverse",Silver Tempest,Sword & Shield,245
swsh12-007,007,Serperior V,210,Grass,,Basic,Holo Rare V,,holo,Silver Tempest,Sword & Shield,245
swsh12-008,008,Serperior VSTAR,270,Grass,Serperior V,VSTAR,Holo Rare VSTAR,,holo,Silver Tempest,Sword & Shield,245
swsh12-009,009,Petilil,50,Grass,,Basic,Common,,"normal, reverse",Silver Tempest,Sword & Shield,245
swsh12-010,010,Hisuian Lilligant,120,Grass,Petilil,Stage1,Rare,,"normal, reverse",Silver Tempest,Sword & Shield,245
swsh12-011,011,Foongus,50,Grass,,Basic,Common,,"normal, reverse",Silver Tempest,Sword & Shield,245
swsh12-012,012,Amoonguss,90,Grass,Foongus,Stage1,Rare,,"normal, reverse",Silver Tempest,Sword & Shield,245
swsh12-013,013,Durant,110,Grass,,Basic,Common,,"normal, reverse",Silver Tempest,Sword & Shield,245
swsh12-014,014,Virizion,110,Grass,,Basic,Rare,,"normal, reverse",Silver Tempest,Sword & Shield,245
swsh12-015,015,Chesnaught V,230,Grass,,Basic,Holo Rare V,,holo,Silver Tempest,Sword & Shield,245
swsh12-016,016,Radiant Tsareena,140,Grass,,Basic,Radiant Rare,,holo,Silver Tempest,Sword & Shield,245
swsh12-017,017,Vulpix,70,Fire,,Basic,Common,,"normal, reverse",Silver Tempest,Sword & Shield,245
swsh12-018,018,Ninetales,110,Fire,Vulpix,Stage1,Uncommon,,"normal, reverse",Silver Tempest,Sword & Shield,245
swsh12-019,019,Growlithe,90,Fire,,Basic,Common,,"normal, reverse",Silver Tempest,Sword & Shield,245
swsh12-020,020,Arcanine,140,Fire,Growlithe,Stage1,Rare,,"normal, reverse",Silver Tempest,Sword & Shield,245
