id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
swsh12-001,001,Mimitoss,60,Plante,,De base,Commune,,"normal, reverse",Tempête Argentée,Épée et Bouclier,245
swsh12-002,002,Aéromite,90,Plante,Mimitoss,Niveau 1,Peu Commune,,"normal, reverse",Tempête Argentée,Épée et Bouclier,245
swsh12-003,003,Mimigal,60,Plante,,De base,Commune,,"normal, reverse",Tempête Argentée,Épée et Bouclier,245
swsh12-004,004,Migalos,90,Plante,Mimigal,Niveau 1,Holo Rare,,"reverse, holo",Tempête Argentée,Épée et Bouclier,245
swsh12-005,005,Tournegrin,40,Plante,,De base,Commune,,"normal, reverse",Tempête Argentée,Épée et Bouclier,245
swsh12-006,006,Héliatronc,90,Plante,Tournegrin,Niveau 1,Peu Commune,,"normal, reverse",Tempête Argentée,Épée et Bouclier,245
swsh12-007,007,Majaspic V,210,Plante,,De base,Holo Rare V,,holo,Tempête Argentée,Épée et Bouclier,245
swsh12-008,008,Majaspic VSTAR,270,Plante,Majaspic-V,VSTAR,Holo Rare VSTAR,,holo,Tempête Argentée,Épée et Bouclier,245
swsh12-009,009,Chlorobule,50,Plante,,De base,Commune,,"normal, reverse",Tempête Argentée,Épée et Bouclier,245
swsh12-010,010,Fragilady de Hisui,120,Plante,Chlorobule,Niveau 1,Rare,,"normal, reverse",Tempête Argentée,Épée et Bouclier,245
swsh12-011,011,Trompignon,50,Plante,,De base,Commune,,"normal, reverse",Tempête Argentée,Épée et Bouclier,245
swsh12-012,012,Gaulet,90,Plante,Trompignon,Niveau 1,Rare,,"normal, reverse",Tempête Argentée,Épée et Bouclier,245
swsh12-013,013,Fermite,110,Plante,,De base,Commune,,"normal, reverse",Tempête Argentée,Épée et Bouclier,245
swsh12-014,014,Viridium,110,Plante,,De base,Rare,,"normal, reverse",Tempête Argentée,Épée et Bouclier,245
swsh12-015,015,Blindépique V,230,Plante,,De base,Holo Rare V,,holo,Tempête Argentée,Épée et Bouclier,245
swsh12-016,016,Sucreine Radieux,140,Plante,,De base,Radieux Rare,,holo,Tempête Argentée,Épée et Bouclier,245
swsh12-017,017,Goupix,70,Feu,,De base,Commune,,"normal, reverse",Tempête Argentée,Épée et Bouclier,245
swsh12-018,018,Feunard,110,Feu,Goupix,Niveau 1,Peu Commune,,"normal, reverse",Tempête Argentée,Épée et Bouclier,245
swsh12-019,019,Caninos,90,Feu,,De base,Commune,,"normal, reverse",Tempête Argentée,Épée et Bouclier,245
swsh12-020,020,Arcanin,140,Feu,Caninos,Niveau 1,Rare,,"normal, reverse",Tempête Argentée,Épée et Bouclier,245
swsh12-021,021,Ponyta,70,Feu,,De base,Commune,,"normal, reverse",Tempête Argentée,Épée et Bouclier,245
swsh12-022,022,Galopa,100,Feu,Ponyta,Niveau 1,Holo Rare,,"reverse, holo",Tempête Argentée,Épée et Bouclier,245
swsh12-023,023,Victini,70,Feu,,De base,Rare,,"normal, reverse",Tempête Argentée,Épée et Bouclier,245
swsh12-024,024,Reshiram V,220,Feu,,De base,Holo Rare V,,holo,Tempête Argentée,Épée et Bouclier,245
swsh12-025,025,Feunnec,60,Feu,,De base,Commune,,"normal, reverse",Tempête Argentée,Épée et Bouclier,245
swsh12-026,026,Roussil,90,Feu,Feunnec,Niveau 1,Peu Commune,,"normal, reverse",Tempête Argentée,Épée et Bouclier,245
swsh12-027,027,Goupelin,150,Feu,Roussil,Niveau 2,Rare,,"normal, reverse",Tempête Argentée,Épée et Bouclier,245
swsh12-028,028,Braisillon,80,Feu,Passerouge,Niveau 1,Peu Commune,,"normal, reverse",Tempête Argentée,Épée et Bouclier,245
swsh12-029,029,Flambusard,140,Feu,Braisillon,Niveau 2,Rare,,"normal, reverse",Tempête Argentée,Épée et Bouclier,245
swsh12-030,030,Flamiaou,70,Feu,,De base,Commune,,"normal, reverse",Tempête Argentée,Épée et Bouclier,245
swsh12-031,031,Matoufeu,80,Feu,Flamiaou,Niveau 1,Peu Commune,,"normal, reverse",Tempête Argentée,Épée et Bouclier,245
swsh12-032,032,Félinferno,170,Feu,Matoufeu,Niveau 2,Rare,,"normal, reverse",Tempête Argentée,Épée et Bouclier,245
swsh12-033,033,Goupix d'Alola V,190,Eau,,De base,Holo Rare V,,holo,Tempête Argentée,Épée et Bouclier,245
swsh12-034,034,Goupix d'Alola VSTAR,240,Eau,Goupix d'Alola-V,VSTAR,Holo Rare VSTAR,,holo,Tempête Argentée,Épée et Bouclier,245
swsh12-035,035,Amonistar V,190,Eau,,De base,Holo Rare V,,holo,Tempête Argentée,Épée et Bouclier,245
swsh12-036,036,Artikodin,110,Eau,,De base,Holo Rare,,"reverse, holo",Tempête Argentée,Épée et Bouclier,245
swsh12-037,037,Wailmer,110,Eau,,De base,Commune,,"normal, reverse",Tempête Argentée,Épée et Bouclier,245
swsh12-038,038,Wailord,200,Eau,Wailmer,Niveau 1,Peu Commune,,"normal, reverse",Tempête Argentée,Épée et Bouclier,245
swsh12-039,039,Barpau,30,Eau,,De base,Commune,,"normal, reverse",Tempête Argentée,Épée et Bouclier,245
swsh12-040,040,Milobellus,130,Eau,Barpau,Niveau 1,Rare,,"normal, reverse",Tempête Argentée,Épée et Bouclier,245
swsh12-041,041,Stalgamin,60,Eau,,De base,Commune,,"normal, reverse",Tempête Argentée,Épée et Bouclier,245
swsh12-042,042,Oniglali,130,Eau,Stalgamin,Niveau 1,Peu Commune,,"normal, reverse",Tempête Argentée,Épée et Bouclier,245
swsh12-043,043,Momartik,90,Eau,Stalgamin,Niveau 1,Rare,,"normal, reverse",Tempête Argentée,Épée et Bouclier,245
