id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
xy11-1,1,Tangela,80,Grass,,Basic,Common,OOYAMA,"normal, reverse, holo",Steam Siege,XY,116
xy11-2,2,Tangrowth,130,Grass,Tangela,Stage1,Uncommon,kirisAki,"normal, reverse, holo",Steam Siege,XY,116
xy11-3,3,Hoppip,40,Grass,,Basic,Common,Mina Nakai,"normal, reverse, holo",Steam Siege,XY,116
xy11-4,4,Skiploom,70,Grass,Hoppip,Stage1,Uncommon,Eri Yamaki,"normal, reverse, holo",Steam Siege,XY,116
xy11-5,5,Jumpluff,90,Grass,Skiploom,Stage2,Rare,Suwama Chiaki,"normal, reverse, holo",Steam Siege,XY,116
xy11-6,6,Yanma,70,Grass,,Basic,Common,match,"normal, reverse, holo",Steam Siege,XY,116
xy11-7,7,Yanmega,110,Grass,Yanma,Stage1,Rare,Midori Harada,"normal, reverse, holo",Steam Siege,XY,116
xy11-8,8,Yanmega BREAK,140,Grass,Yanmega,BREAK,Ultra Rare,5ban Graphics,"normal, reverse, holo",Steam Siege,XY,116
xy11-9,9,Seedot,50,Grass,,Basic,Common,sui,"normal, reverse, holo",Steam Siege,XY,116
xy11-10,10,Nuzleaf,70,Grass,Seedot,Stage1,Uncommon,Ayaka Yoshida,"normal, reverse, holo",Steam Siege,XY,116
xy11-11,11,Shiftry,140,"Grass, Darkness",Nuzleaf,Stage2,Rare,Kagemaru Himeno,"normal, reverse, holo",Steam Siege,XY,116
xy11-12,12,Foongus,40,Grass,,Basic,Common,Yuka Morii,"normal, reverse, holo",Steam Siege,XY,116
xy11-13,13,Amoonguss,90,Grass,Foongus,Stage1,Rare,Ken Sugimori,"normal, reverse, holo",Steam Siege,XY,116
xy11-14,14,Larvesta,70,Grass,,Basic,Common,Tomokazu Komiya,"normal, reverse, holo",Steam Siege,XY,116
xy11-15,15,Volcarona,110,"Fire, Grass",Larvesta,Stage1,Rare,Kouki Saitou,"normal, reverse, holo",Steam Siege,XY,116
xy11-16,16,Ponyta,60,Fire,,Basic,Common,Sumiyoshi Kizuki,"normal, reverse, holo",Steam Siege,XY,116
xy11-17,17,Rapidash,90,Fire,Ponyta,Stage1,Uncommon,Yukiko Baba,"normal, reverse, holo",Steam Siege,XY,116
xy11-18,18,Chimchar,60,Fire,,Basic,Common,Shibuzoh.,"normal, reverse, holo",Steam Siege,XY,116
xy11-19,19,Monferno,80,Fire,Chimchar,Stage1,Uncommon,Mizue,"normal, reverse, holo",Steam Siege,XY,116
xy11-20,20,Infernape,130,Fire,Monferno,Stage2,Rare,Naoki Saito,"normal, reverse, holo",Steam Siege,XY,116
xy11-21,21,Talonflame BREAK,170,Fire,Talonflame,BREAK,Ultra Rare,5ban Graphics,"normal, reverse, holo",Steam Siege,XY,116
xy11-22,22,Litleo,60,Fire,,Basic,Common,Kyoko Umemoto,"normal, reverse, holo",Steam Siege,XY,116
xy11-23,23,Pyroar,120,Fire,Litleo,Stage1,Rare,Yumi,"normal, reverse, holo",Steam Siege,XY,116
xy11-24,24,Pyroar BREAK,160,Fire,Pyroar,BREAK,Ultra Rare,5ban Graphics,"normal, reverse, holo",Steam Siege,XY,116
xy11-25,25,Volcanion,130,Fire,,Basic,Rare,5ban Graphics,"normal, reverse, holo",Steam Siege,XY,116
xy11-26,26,Volcanion EX,180,"Fire, Water",,Basic,Ultra Rare,5ban Graphics,"normal, reverse, holo",Steam Siege,XY,116
xy11-27,27,Mantine,100,Water,,Basic,Common,DemizuPosuka,"normal, reverse, holo",Steam Siege,XY,116
xy11-28,28,Shellos,70,Water,,Basic,Common,Sanosuke Sakuma,"normal, reverse, holo",Steam Siege,XY,116
xy11-29,29,Gastrodon,110,Water,Shellos,Stage1,Rare,Aya Kusube,"normal, reverse, holo",Steam Siege,XY,116
xy11-30,30,Oshawott,60,Water,,Basic,Common,sui,"normal, reverse, holo",Steam Siege,XY,116
xy11-31,31,Dewott,90,Water,Oshawott,Stage1,Uncommon,Shin Nagasawa,"normal, reverse, holo",Steam Siege,XY,116
xy11-32,32,Samurott,140,Water,Dewott,Stage2,Rare,Naoyo Kimura,"normal, reverse, holo",Steam Siege,XY,116
xy11-33,33,Clauncher,60,Water,,Basic,Common,Kanako Eo,"normal, reverse, holo",Steam Siege,XY,116
xy11-34,34,Clawitzer,100,Water,Clauncher,Stage1,Rare,Mitsuhiro Arita,"normal, reverse, holo",Steam Siege,XY,116
xy11-35,35,Clawitzer BREAK,130,Water,Clawitzer,BREAK,Ultra Rare,5ban Graphics,"normal, reverse, holo",Steam Siege,XY,116
xy11-36,36,Bergmite,70,Water,,Basic,Common,Midori Harada,"normal, reverse, holo",Steam Siege,XY,116
xy11-37,37,Avalugg,120,Water,Bergmite,Stage1,Rare,Saya Tsuruta,"normal, reverse, holo",Steam Siege,XY,116
xy11-38,38,Mareep,60,Lightning,,Basic,Common,Eri Yamaki,"normal, reverse, holo",Steam Siege,XY,116
xy11-39,39,Flaaffy,90,Lightning,Mareep,Stage1,Uncommon,MAHOU,"normal, reverse, holo",Steam Siege,XY,116
xy11-40,40,Ampharos,140,Lightning,Flaaffy,Stage2,Rare,Kanako Eo,"normal, reverse, holo",Steam Siege,XY,116
