id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
dp7-1,1,Dusknoir,120,Psychic,Dusclops,Stage2,Rare Holo,Mitsuhiro Arita,"reverse, holo",Stormfront,Diamond & Pearl,106
dp7-2,2,Empoleon,130,Metal,Prinplup,Stage2,Rare Holo,Kouki Saitou,"reverse, holo",Stormfront,Diamond & Pearl,106
dp7-3,3,Infernape,120,Fighting,Monferno,Stage2,Rare Holo,Mitsuhiro Arita,"reverse, holo",Stormfront,Diamond & Pearl,106
dp7-4,4,Lumineon,80,Water,Finneon,Stage1,Rare Holo,Kent Kanetsuna,"reverse, holo",Stormfront,Diamond & Pearl,106
dp7-5,5,Magnezone,120,Metal,Magneton,Stage2,Rare Holo,Masakazu Fukuda,"reverse, holo",Stormfront,Diamond & Pearl,106
dp7-6,6,Magnezone,120,Lightning,Magneton,Stage2,Rare Holo,Tomoaki Imakuni,"reverse, holo",Stormfront,Diamond & Pearl,106
dp7-7,7,Mismagius,80,Psychic,Misdreavus,Stage1,Rare Holo,Midori Harada,"reverse, holo",Stormfront,Diamond & Pearl,106
dp7-8,8,Raichu,90,Lightning,Pikachu,Stage1,Rare Holo,Kagemaru Himeno,"reverse, holo",Stormfront,Diamond & Pearl,106
dp7-9,9,Regigigas,100,Colorless,,Basic,Rare Holo,Masakazu Fukuda,"reverse, holo",Stormfront,Diamond & Pearl,106
dp7-10,10,Sceptile,110,Grass,Grovyle,Stage2,Rare Holo,Suwama Chiaki,"normal, reverse, holo",Stormfront,Diamond & Pearl,106
dp7-11,11,Torterra,140,Fighting,Grotle,Stage2,Rare Holo,Masakazu Fukuda,"reverse, holo",Stormfront,Diamond & Pearl,106
dp7-12,12,Abomasnow,100,Water,Snover,Stage1,Rare,Mitsuhiro Arita,"normal, reverse",Stormfront,Diamond & Pearl,106
dp7-13,13,Bronzong,90,Psychic,Bronzor,Stage1,Rare,Kyoko Umemoto,"normal, reverse",Stormfront,Diamond & Pearl,106
dp7-14,14,Cherrim,80,Grass,Cherubi,Stage1,Rare,Suwama Chiaki,"normal, reverse",Stormfront,Diamond & Pearl,106
dp7-15,15,Drapion,110,Darkness,Skorupi,Stage1,Rare,Kent Kanetsuna,"normal, reverse",Stormfront,Diamond & Pearl,106
dp7-16,16,Drifblim,90,Psychic,Drifloon,Stage1,Rare,Hajime Kusajima,"normal, reverse",Stormfront,Diamond & Pearl,106
dp7-17,17,Dusknoir,120,Psychic,Dusclops,Stage2,Rare,Tomoaki Imakuni,"normal, reverse",Stormfront,Diamond & Pearl,106
dp7-18,18,Gengar,110,Psychic,Haunter,Stage2,Rare,Hajime Kusajima,"normal, reverse",Stormfront,Diamond & Pearl,106
dp7-19,19,Gyarados,130,Water,Magikarp,Stage1,Rare,Midori Harada,"normal, reverse, holo",Stormfront,Diamond & Pearl,106
dp7-20,20,Machamp,130,Fighting,Machoke,Stage2,Rare,Masakazu Fukuda,"normal, reverse",Stormfront,Diamond & Pearl,106
dp7-21,21,Mamoswine,140,Fighting,Piloswine,Stage2,Rare,Kent Kanetsuna,"normal, reverse",Stormfront,Diamond & Pearl,106
dp7-22,22,Rapidash,80,Fire,Ponyta,Stage1,Rare,Suwama Chiaki,"normal, reverse",Stormfront,Diamond & Pearl,106
dp7-23,23,Roserade,90,Psychic,Roselia,Stage1,Rare,Mitsuhiro Arita,"normal, reverse",Stormfront,Diamond & Pearl,106
dp7-24,24,Salamence,140,Colorless,Shelgon,Stage2,Rare,Kagemaru Himeno,"normal, reverse",Stormfront,Diamond & Pearl,106
dp7-25,25,Scizor,100,Grass,Scyther,Stage1,Rare,Midori Harada,"normal, reverse",Stormfront,Diamond & Pearl,106
