id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
swsh1-1,1,Celebi V,180,Pflanze,,Basis,Holografisch Selten V,PLANETA Igarashi,holo,Schwert & Schild,Schwert & Schild,216
swsh1-2,2,Roselia,70,Pflanze,,Basis,Häufig,sowsow,"normal, reverse",Schwert & Schild,Schwert & Schild,216
swsh1-3,3,Roselia,70,Pflanze,,Basis,Häufig,Naoyo Kimura,"normal, reverse",Schwert & Schild,Schwert & Schild,216
swsh1-4,4,Roserade,120,Pflanze,Roselia,Rang 1,Selten,chibi,"normal, reverse",Schwert & Schild,Schwert & Schild,216
swsh1-5,5,Waumboll,60,Pflanze,,Basis,Häufig,ryoma uratsuka,"normal, reverse",Schwert & Schild,Schwert & Schild,216
swsh1-6,6,Elfun,100,Pflanze,Waumboll,Rang 1,Selten,kodama,"normal, reverse",Schwert & Schild,Schwert & Schild,216
swsh1-7,7,Maracamba,110,Pflanze,,Basis,Häufig,Atsuko Nishida,"normal, reverse",Schwert & Schild,Schwert & Schild,216
swsh1-8,8,Fermicula,110,Pflanze,,Basis,Selten,Miki Tanaka,"normal, reverse",Schwert & Schild,Schwert & Schild,216
swsh1-9,9,Moruda V,220,Pflanze,,Basis,Holografisch Selten V,Eske Yoshinob,holo,Schwert & Schild,Schwert & Schild,216
swsh1-10,10,Chimpep,60,Pflanze,,Basis,Häufig,Naoki Saito,"normal, reverse",Schwert & Schild,Schwert & Schild,216
swsh1-11,11,Chimpep,70,Pflanze,,Basis,Häufig,Kouki Saitou,"normal, reverse",Schwert & Schild,Schwert & Schild,216
swsh1-12,12,Chimstix,100,Pflanze,Chimpep,Rang 1,Ungewöhnlich,Megumi Mizutani,"normal, reverse",Schwert & Schild,Schwert & Schild,216
swsh1-13,13,Chimstix,100,Pflanze,Chimpep,Rang 1,Ungewöhnlich,Akira Komayama,"normal, reverse",Schwert & Schild,Schwert & Schild,216
swsh1-14,14,Gortrom,170,Pflanze,Chimstix,Rang 2,Holografisch Selten,Anesaki Dynamic,"reverse, holo",Schwert & Schild,Schwert & Schild,216
swsh1-15,15,Gortrom,190,Pflanze,Chimstix,Rang 2,Selten,Shin Nagasawa,"normal, reverse",Schwert & Schild,Schwert & Schild,216
swsh1-16,16,Sensect,50,Pflanze,,Basis,Häufig,nagimiso,"normal, reverse",Schwert & Schild,Schwert & Schild,216
swsh1-17,17,Sensect,40,Pflanze,,Basis,Häufig,Mina Nakai,"normal, reverse",Schwert & Schild,Schwert & Schild,216
swsh1-18,18,Keradar,70,Pflanze,Sensect,Rang 1,Ungewöhnlich,Misa Tsutsui,"normal, reverse",Schwert & Schild,Schwert & Schild,216
swsh1-19,19,Maritellit,130,Pflanze,Keradar,Rang 2,Selten,Hitoshi Ariga,"normal, reverse",Schwert & Schild,Schwert & Schild,216
swsh1-20,20,Cottini,50,Pflanze,,Basis,Häufig,Saya Tsuruta,"normal, reverse",Schwert & Schild,Schwert & Schild,216
swsh1-21,21,Cottomi,80,Pflanze,Cottini,Rang 1,Ungewöhnlich,Kagemaru Himeno,"normal, reverse",Schwert & Schild,Schwert & Schild,216
swsh1-22,22,Vulpix,70,Feuer,,Basis,Häufig,Taira Akitsu,"normal, reverse",Schwert & Schild,Schwert & Schild,216
swsh1-23,23,Vulnona,120,Feuer,Vulpix,Rang 1,Selten,Megumi Higuchi,"normal, reverse",Schwert & Schild,Schwert & Schild,216
swsh1-24,24,Qurtel V,210,Feuer,,Basis,Holografisch Selten V,Ayaka Yoshida,holo,Schwert & Schild,Schwert & Schild,216
swsh1-25,25,Victini V,190,Feuer,,Basis,Holografisch Selten V,PLANETA Tsuji,holo,Schwert & Schild,Schwert & Schild,216
swsh1-26,26,Furnifraß,110,Feuer,,Basis,Ungewöhnlich,kawayoo,"normal, reverse",Schwert & Schild,Schwert & Schild,216
swsh1-27,27,Molunk,70,Feuer,,Basis,Häufig,SATOSHI NAKAI,"normal, reverse",Schwert & Schild,Schwert & Schild,216
swsh1-28,28,Amfira,120,Feuer,Molunk,Rang 1,Ungewöhnlich,Tomokazu Komiya,"normal, reverse",Schwert & Schild,Schwert & Schild,216
swsh1-29,29,Tortunator,130,Feuer,,Basis,Selten,KEIICHIRO ITO,"normal, reverse",Schwert & Schild,Schwert & Schild,216
swsh1-30,30,Hopplo,60,Feuer,,Basis,Häufig,kirisAki,"normal, reverse",Schwert & Schild,Schwert & Schild,216
swsh1-31,31,Hopplo,70,Feuer,,Basis,Häufig,Kagemaru Himeno,"normal, reverse",Schwert & Schild,Schwert & Schild,216
swsh1-32,32,Kickerlo,90,Feuer,Hopplo,Rang 1,Ungewöhnlich,Mizue,"normal, reverse",Schwert & Schild,Schwert & Schild,216
swsh1-33,33,Kickerlo,90,Feuer,Hopplo,Rang 1,Ungewöhnlich,Akira Komayama,"normal, reverse",Schwert & Schild,Schwert & Schild,216
swsh1-34,34,Liberlo,170,Feuer,Kickerlo,Rang 2,Holografisch Selten VMAX,Kouki Saitou,"reverse, holo",Schwert & Schild,Schwert & Schild,216
swsh1-35,35,Liberlo,170,Feuer,Kickerlo,Rang 2,Holografisch Selten VMAX,Naoki Saito,"reverse, holo",Schwert & Schild,Schwert & Schild,216
swsh1-36,36,Liberlo,170,Feuer,Kickerlo,Rang 2,Selten,Shin Nagasawa,"normal, reverse",Schwert & Schild,Schwert & Schild,216
swsh1-37,37,Thermopod,70,Feuer,,Basis,Häufig,Akira Komayama,"normal, reverse",Schwert & Schild,Schwert & Schild,216
swsh1-38,38,Thermopod,70,Feuer,,Basis,Häufig,Kouki Saitou,"normal, reverse",Schwert & Schild,Schwert & Schild,216
swsh1-39,39,Infernopod,130,Feuer,Thermopod,Rang 1,Selten,Anesaki Dynamic,"normal, reverse",Schwert & Schild,Schwert & Schild,216
swsh1-40,40,Muschas,70,Wasser,,Basis,Häufig,Sekio,"normal, reverse",Schwert & Schild,Schwert & Schild,216
swsh1-41,41,Austos,130,Wasser,Muschas,Rang 1,Selten,MAHOU,"normal, reverse",Schwert & Schild,Schwert & Schild,216
swsh1-42,42,Krabby,80,Wasser,,Basis,Häufig,ryoma uratsuka,"normal, reverse",Schwert & Schild,Schwert & Schild,216
swsh1-43,43,Krabby,80,Wasser,,Basis,Häufig,miki kudo,"normal, reverse",Schwert & Schild,Schwert & Schild,216
swsh1-44,44,Kingler,130,Wasser,Krabby,Rang 1,Ungewöhnlich,tetsuya koizumi,"normal, reverse",Schwert & Schild,Schwert & Schild,216
swsh1-45,45,Goldini,70,Wasser,,Basis,Häufig,Suwama Chiaki,"normal, reverse",Schwert & Schild,Schwert & Schild,216
swsh1-46,46,Goldini,70,Wasser,,Basis,Häufig,SATOSHI NAKAI,"normal, reverse",Schwert & Schild,Schwert & Schild,216
swsh1-47,47,Golking,110,Wasser,Goldini,Rang 1,Ungewöhnlich,Shibuzoh.,"normal, reverse",Schwert & Schild,Schwert & Schild,216
swsh1-48,48,Lapras,130,Wasser,,Basis,Selten,Kazuma Koda,"normal, reverse",Schwert & Schild,Schwert & Schild,216
swsh1-49,49,Lapras V,210,Wasser,,Basis,Holografisch Selten V,Hasuno,holo,Schwert & Schild,Schwert & Schild,216
swsh1-50,50,Lapras VMAX,320,Wasser,Lapras V,VMAX,Holografisch Selten VMAX,5ban Graphics,holo,Schwert & Schild,Schwert & Schild,216
swsh1-51,51,Baldorfish,90,Wasser,,Basis,Ungewöhnlich,Midori Harada,"normal, reverse",Schwert & Schild,Schwert & Schild,216
swsh1-52,52,Mantax,110,Wasser,,Basis,Ungewöhnlich,Jumpei Akasaka,"normal, reverse",Schwert & Schild,Schwert & Schild,216
swsh1-53,53,Keldeo V,210,Wasser,,Basis,Holografisch Selten V,PLANETA Igarashi,holo,Schwert & Schild,Schwert & Schild,216
swsh1-54,54,Memmeon,60,Wasser,,Basis,Häufig,Megumi Mizutani,"normal, reverse",Schwert & Schild,Schwert & Schild,216
swsh1-55,55,Memmeon,70,Wasser,,Basis,Häufig,Hitoshi Ariga,"normal, reverse",Schwert & Schild,Schwert & Schild,216
swsh1-56,56,Phlegleon,90,Wasser,Memmeon,Rang 1,Ungewöhnlich,Naoki Saito,"normal, reverse",Schwert & Schild,Schwert & Schild,216
swsh1-57,57,Phlegleon,90,Wasser,Memmeon,Rang 1,Ungewöhnlich,Mizue,"normal, reverse",Schwert & Schild,Schwert & Schild,216
swsh1-58,58,Intelleon,160,Wasser,Phlegleon,Rang 2,Holografisch Selten,Kagemaru Himeno,"reverse, holo",Schwert & Schild,Schwert & Schild,216
swsh1-59,59,Intelleon,160,Wasser,Phlegleon,Rang 2,Selten,Akira Komayama,"normal, reverse",Schwert & Schild,Schwert & Schild,216
swsh1-60,60,Kamehaps,80,Wasser,,Basis,Häufig,Mina Nakai,"normal, reverse",Schwert & Schild,Schwert & Schild,216
swsh1-61,61,Kamalm,130,Wasser,Kamehaps,Rang 1,Selten,Hitoshi Ariga,"normal, reverse",Schwert & Schild,Schwert & Schild,216
swsh1-62,62,Urgl,110,Wasser,,Basis,Selten,Shin Nagasawa,"normal, reverse",Schwert & Schild,Schwert & Schild,216
swsh1-63,63,Snomnom,50,Wasser,,Basis,Häufig,Mina Nakai,"normal, reverse",Schwert & Schild,Schwert & Schild,216
swsh1-64,64,Mottineva,90,Wasser,Snomnom,Rang 1,Holografisch Selten,Kagemaru Himeno,"reverse, holo",Schwert & Schild,Schwert & Schild,216
swsh1-65,65,Pikachu,60,Elektro,,Basis,Häufig,Ryuta Fuse,"normal, reverse",Schwert & Schild,Schwert & Schild,216
swsh1-66,66,Raichu,130,Elektro,Pikachu,Rang 1,Selten,Hasuno,"normal, reverse",Schwert & Schild,Schwert & Schild,216
swsh1-67,67,Lampi,70,Elektro,,Basis,Häufig,Sumiyoshi Kizuki,"normal, reverse",Schwert & Schild,Schwert & Schild,216
swsh1-68,68,Lampi,60,Elektro,,Basis,Häufig,Yukiko Baba,"normal, reverse",Schwert & Schild,Schwert & Schild,216
swsh1-69,69,Lanturn,120,Elektro,Lampi,Rang 1,Selten,Naoyo Kimura,"normal, reverse",Schwert & Schild,Schwert & Schild,216
swsh1-70,70,Wattzapf,50,Elektro,,Basis,Häufig,Motofumi Fujiwara,"normal, reverse",Schwert & Schild,Schwert & Schild,216
swsh1-71,71,Voltula,100,Elektro,Wattzapf,Rang 1,Ungewöhnlich,otumami,"normal, reverse",Schwert & Schild,Schwert & Schild,216
swsh1-72,72,Kapu-Riki V,200,Elektro,,Basis,Holografisch Selten V,PLANETA Tsuji,holo,Schwert & Schild,Schwert & Schild,216
swsh1-73,73,Voldi,70,Elektro,,Basis,Häufig,Akira Komayama,"normal, reverse",Schwert & Schild,Schwert & Schild,216
swsh1-74,74,Voldi,70,Elektro,,Basis,Häufig,Saya Tsuruta,"normal, reverse",Schwert & Schild,Schwert & Schild,216
swsh1-75,75,Bellektro,130,Elektro,Voldi,Rang 1,Holografisch Selten,Misa Tsutsui,"reverse, holo",Schwert & Schild,Schwert & Schild,216
swsh1-76,76,Bellektro,120,Elektro,Voldi,Rang 1,Holografisch Selten,Kouki Saitou,"reverse, holo",Schwert & Schild,Schwert & Schild,216
swsh1-77,77,Britzigel,80,Elektro,,Basis,Häufig,Akira Komayama,"normal, reverse",Schwert & Schild,Schwert & Schild,216
swsh1-78,78,Morpeko,90,Elektro,,Basis,Selten,Megumi Mizutani,"normal, reverse",Schwert & Schild,Schwert & Schild,216
swsh1-79,79,Morpeko V,170,Elektro,,Basis,Holografisch Selten V,5ban Graphics,holo,Schwert & Schild,Schwert & Schild,216
swsh1-80,80,Morpeko VMAX,300,Elektro,Morpeko-V,VMAX,Holografisch Selten VMAX,5ban Graphics,holo,Schwert & Schild,Schwert & Schild,216
swsh1-81,81,Galar-Ponita,70,Psycho,,Basis,Häufig,Saya Tsuruta,"normal, reverse",Schwert & Schild,Schwert & Schild,216
