id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
ex4-1,1,Team Aquas Noktuska,80,"Pflanze, Unlicht",,Rang 1,Selten,K. Utsunomiya,"reverse, holo",EX Team Magma vs Team Aqua,EX,97
ex4-2,2,Team Aquas Krebutack,80,"Wasser, Unlicht",,Rang 1,Selten,Nakaoka,"reverse, holo",EX Team Magma vs Team Aqua,EX,97
ex4-3,3,Team Aquas Kyogre,100,"Wasser, Unlicht",,Basis,Selten,K. Hoshiba,"normal, reverse, holo",EX Team Magma vs Team Aqua,EX,97
ex4-4,4,Team Aquas Voltenso,70,"Elektro, Unlicht",,Rang 1,Selten,K. Utsunomiya,"reverse, holo",EX Team Magma vs Team Aqua,EX,97
ex4-5,5,Team Aquas Tohaido,70,"Wasser, Unlicht",,Rang 1,Selten,Katsura Tabata,"reverse, holo",EX Team Magma vs Team Aqua,EX,97
ex4-6,6,Team Aquas Walraisa,120,"Wasser, Unlicht",,Rang 2,Selten,Ken Ikuji,"reverse, holo",EX Team Magma vs Team Aqua,EX,97
ex4-7,7,Team Magmas Stolloss,120,"Kampf, Unlicht",,Rang 2,Selten,Hiromichi Sugiyama,"reverse, holo",EX Team Magma vs Team Aqua,EX,97
ex4-8,8,Team Magmas Lepumentas,80,"Psycho, Unlicht",,Rang 1,Selten,Zu-Ka,"reverse, holo",EX Team Magma vs Team Aqua,EX,97
ex4-9,9,Team Magmas Groudon,100,"Kampf, Unlicht",,Basis,Selten,Kazuo Yazawa,"normal, reverse, holo",EX Team Magma vs Team Aqua,EX,97
ex4-10,10,Team Magmas Hundemon,70,"Feuer, Unlicht",,Rang 1,Selten,Ken Ikuji,"reverse, holo",EX Team Magma vs Team Aqua,EX,97
ex4-11,11,Team Magmas Rizeros,90,"Kampf, Unlicht",,Rang 1,Selten,T. Honda,"reverse, holo",EX Team Magma vs Team Aqua,EX,97
ex4-12,12,Team Magmas Qurtel,80,"Feuer, Unlicht",,Basis,Selten,K. Hoshiba,"reverse, holo",EX Team Magma vs Team Aqua,EX,97
ex4-13,13,Raichu,80,Elektro,,Rang 1,Selten,Ken Sugimori,"normal, reverse",EX Team Magma vs Team Aqua,EX,97
ex4-14,14,Team Aquas Krebutack,80,Wasser,,Rang 1,Selten,Nakaoka,"normal, reverse",EX Team Magma vs Team Aqua,EX,97
ex4-15,15,Team Aquas Magnayen,70,Unlicht,,Rang 1,Selten,Shin-ichi Yoshikawa,"normal, reverse",EX Team Magma vs Team Aqua,EX,97
ex4-16,16,Team Aquas Seejong,70,Wasser,,Rang 1,Selten,T. Honda,"normal, reverse",EX Team Magma vs Team Aqua,EX,97
ex4-17,17,Team Aquas Vipitis,80,Pflanze,,Basis,Selten,Jungo Suzuki,"normal, reverse",EX Team Magma vs Team Aqua,EX,97
ex4-18,18,Team Aquas Tohaido,70,Wasser,,Rang 1,Selten,Katsura Tabata,"normal, reverse",EX Team Magma vs Team Aqua,EX,97
ex4-19,19,Team Magmas Camerupt,80,Feuer,,Rang 1,Selten,Katsura Tabata,"normal, reverse",EX Team Magma vs Team Aqua,EX,97
ex4-20,20,Team Magmas Stollrak,80,Kampf,,Rang 1,Selten,Hiromichi Sugiyama,"normal, reverse",EX Team Magma vs Team Aqua,EX,97
ex4-21,21,Team Magmas Magnayen,70,Unlicht,,Rang 1,Selten,Shin-ichi Yoshikawa,"normal, reverse",EX Team Magma vs Team Aqua,EX,97
ex4-22,22,Team Magmas Rizeros,80,Kampf,,Rang 1,Selten,T. Honda,"normal, reverse",EX Team Magma vs Team Aqua,EX,97
ex4-23,23,Team Magmas Sengo,70,Farblos,,Basis,Selten,Zu-Ka,"normal, reverse",EX Team Magma vs Team Aqua,EX,97
ex4-24,24,Team Aquas Tuska,50,"Pflanze, Unlicht",,Basis,Ungewöhnlich,K. Utsunomiya,"normal, reverse",EX Team Magma vs Team Aqua,EX,97
ex4-25,25,Team Aquas Kanivanha,50,Wasser,,Basis,Ungewöhnlich,Mt. TBT,"normal, reverse",EX Team Magma vs Team Aqua,EX,97
ex4-26,26,Team Aquas Krebscorps,50,Wasser,,Basis,Ungewöhnlich,Jungo Suzuki,"normal, reverse",EX Team Magma vs Team Aqua,EX,97
ex4-27,27,Team Aquas Frizelbliz,50,Elektro,,Basis,Ungewöhnlich,M. Akiyama,"normal, reverse",EX Team Magma vs Team Aqua,EX,97
ex4-28,28,Team Aquas Lanturn,80,Elektro,,Rang 1,Ungewöhnlich,Jungo Suzuki,"normal, reverse",EX Team Magma vs Team Aqua,EX,97
ex4-29,29,Team Aquas Voltenso,80,Elektro,,Rang 1,Ungewöhnlich,K. Utsunomiya,"normal, reverse",EX Team Magma vs Team Aqua,EX,97
ex4-30,30,Team Aquas Magnayen,80,Unlicht,,Rang 1,Ungewöhnlich,Shin-ichi Yoshikawa,"normal, reverse",EX Team Magma vs Team Aqua,EX,97
ex4-31,31,Team Aquas Seejong,80,Wasser,,Rang 1,Ungewöhnlich,T. Honda,"normal, reverse",EX Team Magma vs Team Aqua,EX,97
ex4-32,32,Team Magmas Puppance,50,Psycho,,Basis,Ungewöhnlich,Atsuko Ujiie,"normal, reverse",EX Team Magma vs Team Aqua,EX,97
ex4-33,33,Team Magmas Lepumentas,80,Kampf,,Rang 1,Ungewöhnlich,Zu-Ka,"normal, reverse",EX Team Magma vs Team Aqua,EX,97
ex4-34,34,Team Magmas Hundemon,70,Feuer,,Rang 1,Ungewöhnlich,Ken Ikuji,"normal, reverse",EX Team Magma vs Team Aqua,EX,97
ex4-35,35,Team Magmas Hunduster,50,Feuer,,Basis,Ungewöhnlich,Atsuko Ujiie,"normal, reverse",EX Team Magma vs Team Aqua,EX,97
ex4-36,36,Team Magmas Stollrak,70,Kampf,,Rang 1,Ungewöhnlich,Hiromichi Sugiyama,"normal, reverse",EX Team Magma vs Team Aqua,EX,97
ex4-37,37,Team Magmas Magnayen,80,Unlicht,,Rang 1,Ungewöhnlich,Shin-ichi Yoshikawa,"normal, reverse",EX Team Magma vs Team Aqua,EX,97
ex4-38,38,Team Magmas Rihorn,50,Kampf,,Basis,Ungewöhnlich,Mt. TBT,"normal, reverse",EX Team Magma vs Team Aqua,EX,97
ex4-39,39,Bisasam,50,Pflanze,,Basis,Häufig,Ken Sugimori,"normal, reverse",EX Team Magma vs Team Aqua,EX,97
ex4-40,40,Tragosso,50,Kampf,,Basis,Häufig,Ken Sugimori,"normal, reverse",EX Team Magma vs Team Aqua,EX,97
ex4-41,41,Pummeluff,50,Farblos,,Basis,Häufig,Ken Sugimori,"normal, reverse",EX Team Magma vs Team Aqua,EX,97
ex4-42,42,Mauzi,50,Farblos,,Basis,Häufig,Ken Sugimori,"normal, reverse",EX Team Magma vs Team Aqua,EX,97
ex4-43,43,Pikachu,50,Elektro,,Basis,Häufig,Ken Sugimori,"normal, reverse",EX Team Magma vs Team Aqua,EX,97
ex4-44,44,Enton,40,Wasser,,Basis,Häufig,Ken Sugimori,"normal, reverse",EX Team Magma vs Team Aqua,EX,97
ex4-45,45,Flegmon,50,Psycho,,Basis,Häufig,Ken Sugimori,"normal, reverse",EX Team Magma vs Team Aqua,EX,97
ex4-46,46,Schiggy,50,Wasser,,Basis,Häufig,Ken Sugimori,"normal, reverse",EX Team Magma vs Team Aqua,EX,97
ex4-47,47,Team Aquas Kanivanha,40,Wasser,,Basis,Häufig,Yosuke Da Silva,"normal, reverse",EX Team Magma vs Team Aqua,EX,97
ex4-48,48,Team Aquas Kanivanha,50,Wasser,,Basis,Häufig,Hiromichi Sugiyama,"normal, reverse",EX Team Magma vs Team Aqua,EX,97
ex4-49,49,Team Aquas Lampi,50,Elektro,,Basis,Häufig,Kazuo Yazawa,"normal, reverse",EX Team Magma vs Team Aqua,EX,97
ex4-50,50,Team Aquas Krebscorps,50,Wasser,,Basis,Häufig,Jungo Suzuki,"normal, reverse",EX Team Magma vs Team Aqua,EX,97
ex4-51,51,Team Aquas Krebscorps,50,Wasser,,Basis,Häufig,Jungo Suzuki,"normal, reverse",EX Team Magma vs Team Aqua,EX,97
ex4-52,52,Team Aquas Frizelbliz,50,Elektro,,Basis,Häufig,M. Akiyama,"normal, reverse",EX Team Magma vs Team Aqua,EX,97
ex4-53,53,Team Aquas Frizelbliz,50,Elektro,,Basis,Häufig,M. Akiyama,"normal, reverse",EX Team Magma vs Team Aqua,EX,97
ex4-54,54,Team Aquas Fiffyen,40,Unlicht,,Basis,Häufig,Shin-ichi Yoshikawa,"normal, reverse",EX Team Magma vs Team Aqua,EX,97
ex4-55,55,Team Aquas Fiffyen,50,Unlicht,,Basis,Häufig,Shin-ichi Yoshikawa,"normal, reverse",EX Team Magma vs Team Aqua,EX,97
ex4-56,56,Team Aquas Seemops,40,Wasser,,Basis,Häufig,Nakaoka,"normal, reverse",EX Team Magma vs Team Aqua,EX,97
ex4-57,57,Team Aquas Seemops,50,Wasser,,Basis,Häufig,Nakaoka,"normal, reverse",EX Team Magma vs Team Aqua,EX,97
ex4-58,58,Team Magmas Stollunior,50,Kampf,,Basis,Häufig,Katsura Tabata,"normal, reverse",EX Team Magma vs Team Aqua,EX,97
ex4-59,59,Team Magmas Stollunior,50,Kampf,,Basis,Häufig,Katsura Tabata,"normal, reverse",EX Team Magma vs Team Aqua,EX,97
ex4-60,60,Team Magmas Puppance,50,Kampf,,Basis,Häufig,Atsuko Ujiie,"normal, reverse",EX Team Magma vs Team Aqua,EX,97
ex4-61,61,Team Magmas Puppance,50,Kampf,,Basis,Häufig,Atsuko Ujiie,"normal, reverse",EX Team Magma vs Team Aqua,EX,97
ex4-62,62,Team Magmas Hunduster,50,Feuer,,Basis,Häufig,Atsuko Ujiie,"normal, reverse",EX Team Magma vs Team Aqua,EX,97
ex4-63,63,Team Magmas Hunduster,50,Feuer,,Basis,Häufig,Atsuko Ujiie,"normal, reverse",EX Team Magma vs Team Aqua,EX,97
ex4-64,64,Team Magmas Camaub,50,Feuer,,Basis,Häufig,Katsura Tabata,"normal, reverse",EX Team Magma vs Team Aqua,EX,97
ex4-65,65,Team Magmas Fiffyen,40,Unlicht,,Basis,Häufig,Shin-ichi Yoshikawa,"normal, reverse",EX Team Magma vs Team Aqua,EX,97
