id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
sm11-1,1,Rowlet & Alolan Exeggutor GX,270,Grass,,,Ultra Rare,Mitsuhiro Arita,"normal, reverse, holo",Unified Minds,Sun & Moon,258
sm11-2,2,Yanma,70,Grass,,Basic,Common,Eri Yamaki,"normal, reverse, holo",Unified Minds,Sun & Moon,258
sm11-3,3,Yanmega,120,Grass,Yanma,Stage1,Uncommon,Hitoshi Ariga,"normal, reverse, holo",Unified Minds,Sun & Moon,258
sm11-4,4,Celebi,80,Grass,,Basic,Rare,Megumi Mizutani,"normal, reverse, holo",Unified Minds,Sun & Moon,258
sm11-5,5,Shroomish,60,Grass,,Basic,Common,Ken Sugimori,"normal, reverse, holo",Unified Minds,Sun & Moon,258
sm11-6,6,Sewaddle,50,Grass,,Basic,Common,Naoyo Kimura,"normal, reverse, holo",Unified Minds,Sun & Moon,258
sm11-7,7,Sewaddle,50,Grass,,Basic,Common,Shigenori Negishi,"normal, reverse, holo",Unified Minds,Sun & Moon,258
sm11-8,8,Swadloon,70,Grass,Sewaddle,Stage1,Uncommon,Shibuzoh.,"normal, reverse, holo",Unified Minds,Sun & Moon,258
sm11-9,9,Leavanny,120,Grass,Swadloon,Stage2,Rare,Kagemaru Himeno,"normal, reverse, holo",Unified Minds,Sun & Moon,258
sm11-10,10,Dwebble,70,Grass,,Basic,Common,kawayoo,"normal, reverse, holo",Unified Minds,Sun & Moon,258
sm11-11,11,Crustle,120,Grass,Dwebble,Stage1,Rare,Tomokazu Komiya,"normal, reverse, holo",Unified Minds,Sun & Moon,258
sm11-12,12,Karrablast,70,Grass,,Basic,Common,Ken Sugimori,"normal, reverse, holo",Unified Minds,Sun & Moon,258
sm11-13,13,Foongus,40,Grass,,Basic,Common,Ken Sugimori,"normal, reverse, holo",Unified Minds,Sun & Moon,258
sm11-14,14,Amoonguss,100,Grass,Foongus,Stage1,Rare,Midori Harada,"normal, reverse, holo",Unified Minds,Sun & Moon,258
sm11-15,15,Fomantis,70,Grass,,Basic,Common,Yuka Morii,"normal, reverse, holo",Unified Minds,Sun & Moon,258
sm11-16,16,Lurantis,110,Grass,Fomantis,Stage1,Uncommon,AKIRA EGAWA,"normal, reverse, holo",Unified Minds,Sun & Moon,258
sm11-17,17,Bounsweet,60,Grass,,Basic,Common,Mizue,"normal, reverse, holo",Unified Minds,Sun & Moon,258
sm11-18,18,Steenee,90,Grass,Bounsweet,Stage1,Uncommon,Kagemaru Himeno,"normal, reverse, holo",Unified Minds,Sun & Moon,258
sm11-19,19,Tsareena,140,Grass,Steenee,Stage2,Rare,kirisAki,"normal, reverse, holo",Unified Minds,Sun & Moon,258
sm11-20,20,Dhelmise,100,Grass,,Basic,Uncommon,TOKIYA,"normal, reverse, holo",Unified Minds,Sun & Moon,258
sm11-21,21,Magmar,80,Fire,,Basic,Common,Hiroki Asanuma,"normal, reverse, holo",Unified Minds,Sun & Moon,258
sm11-22,22,Magmortar,130,Fire,Magmar,Stage1,Rare,KEIICHIRO ITO,"normal, reverse, holo",Unified Minds,Sun & Moon,258
sm11-23,23,Numel,90,Fire,,Basic,Common,Motofumi Fujiwara,"normal, reverse, holo",Unified Minds,Sun & Moon,258
sm11-24,24,Camerupt,140,Fire,Numel,Stage1,Rare,Masakazu Fukuda,"normal, reverse, holo",Unified Minds,Sun & Moon,258
sm11-25,25,Heatran GX,190,Fire,,,Ultra Rare,PLANETA Tsuji,"normal, reverse, holo",Unified Minds,Sun & Moon,258
sm11-26,26,Victini,70,Fire,,Basic,Rare,Mizue,"normal, reverse, holo",Unified Minds,Sun & Moon,258
sm11-27,27,Litwick,60,Fire,,Basic,Common,MAHOU,"normal, reverse, holo",Unified Minds,Sun & Moon,258
sm11-28,28,Litwick,60,Fire,,Basic,Common,sowsow,"normal, reverse, holo",Unified Minds,Sun & Moon,258
sm11-29,29,Lampent,80,Fire,Litwick,Stage1,Uncommon,Sachiko Adachi,"normal, reverse, holo",Unified Minds,Sun & Moon,258
sm11-30,30,Chandelure,140,Fire,Lampent,Stage2,Rare,kirisAki,"normal, reverse, holo",Unified Minds,Sun & Moon,258
sm11-31,31,Fletchinder,80,Fire,Fletchling,Stage1,Common,Mina Nakai,"normal, reverse, holo",Unified Minds,Sun & Moon,258
sm11-32,32,Talonflame,130,Fire,Fletchinder,Stage2,Rare,SATOSHI NAKAI,"normal, reverse, holo",Unified Minds,Sun & Moon,258
sm11-33,33,Salandit,70,Fire,,Basic,Common,Kyoko Umemoto,"normal, reverse, holo",Unified Minds,Sun & Moon,258
sm11-34,34,Salazzle,100,Fire,Salandit,Stage1,Rare,Midori Harada,"normal, reverse, holo",Unified Minds,Sun & Moon,258
sm11-35,35,Slowpoke & Psyduck GX,250,Water,,,Ultra Rare,Mitsuhiro Arita,"normal, reverse, holo",Unified Minds,Sun & Moon,258
sm11-36,36,Lapras,110,Water,,Basic,Uncommon,Kagemaru Himeno,"normal, reverse, holo",Unified Minds,Sun & Moon,258
sm11-37,37,Snorunt,50,Water,,Basic,Common,Naoyo Kimura,"normal, reverse, holo",Unified Minds,Sun & Moon,258
