id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
A4-001,001,Oddish,50,Grass,,Basic,One Diamond,ryoma uratsuka,"normal, reverse, holo",Wisdom of Sea and Sky,Pokémon TCG Pocket,241
A4-002,002,Gloom,80,Grass,Oddish,Stage1,Two Diamond,Kyoko Umemoto,"normal, reverse, holo",Wisdom of Sea and Sky,Pokémon TCG Pocket,241
A4-003,003,Bellossom,130,Grass,Gloom,Stage2,Three Diamond,Nagomi Nijo,"normal, reverse, holo",Wisdom of Sea and Sky,Pokémon TCG Pocket,241
A4-004,004,Tangela,80,Grass,,Basic,One Diamond,OOYAMA,"normal, reverse, holo",Wisdom of Sea and Sky,Pokémon TCG Pocket,241
A4-005,005,Tangrowth,130,Grass,Tangela,Stage1,Three Diamond,tetsuya koizumi,"normal, reverse, holo",Wisdom of Sea and Sky,Pokémon TCG Pocket,241
A4-006,006,Scyther,70,Grass,,Basic,One Diamond,Narumi Sato,"normal, reverse, holo",Wisdom of Sea and Sky,Pokémon TCG Pocket,241
A4-007,007,Pinsir,90,Grass,,Basic,One Diamond,Toshinao Aoki,"normal, reverse, holo",Wisdom of Sea and Sky,Pokémon TCG Pocket,241
A4-008,008,Chikorita,60,Grass,,Basic,One Diamond,Naoyo Kimura,"normal, reverse, holo",Wisdom of Sea and Sky,Pokémon TCG Pocket,241
A4-009,009,Bayleef,90,Grass,Chikorita,Stage1,Two Diamond,Mizue,"normal, reverse, holo",Wisdom of Sea and Sky,Pokémon TCG Pocket,241
A4-010,010,Meganium,150,Grass,Bayleef,Stage2,Three Diamond,Hajime Kusajima,"normal, reverse, holo",Wisdom of Sea and Sky,Pokémon TCG Pocket,241
A4-011,011,Ledyba,60,Grass,,Basic,One Diamond,Sumiyoshi Kizuki,"normal, reverse, holo",Wisdom of Sea and Sky,Pokémon TCG Pocket,241
A4-012,012,Ledian,80,Grass,Ledyba,Stage1,One Diamond,Hitoshi Ariga,"normal, reverse, holo",Wisdom of Sea and Sky,Pokémon TCG Pocket,241
A4-013,013,Hoppip,50,Grass,,Basic,One Diamond,Mékayu,"normal, reverse, holo",Wisdom of Sea and Sky,Pokémon TCG Pocket,241
A4-014,014,Skiploom,70,Grass,Hoppip,Stage1,Two Diamond,Kyoko Umemoto,"normal, reverse, holo",Wisdom of Sea and Sky,Pokémon TCG Pocket,241
A4-015,015,Jumpluff,120,Grass,Skiploom,Stage2,Three Diamond,Kagemaru Himeno,"normal, reverse, holo",Wisdom of Sea and Sky,Pokémon TCG Pocket,241
A4-016,016,Sunkern,40,Grass,,Basic,One Diamond,0313,"normal, reverse, holo",Wisdom of Sea and Sky,Pokémon TCG Pocket,241
A4-017,017,Sunflora,90,Grass,Sunkern,Stage1,Two Diamond,Yumi,"normal, reverse, holo",Wisdom of Sea and Sky,Pokémon TCG Pocket,241
A4-018,018,Yanma,60,Grass,,Basic,One Diamond,Tomokazu Komiya,"normal, reverse, holo",Wisdom of Sea and Sky,Pokémon TCG Pocket,241
A4-019,019,Yanmega,90,Grass,Yanma,Stage1,Two Diamond,Uta,"normal, reverse, holo",Wisdom of Sea and Sky,Pokémon TCG Pocket,241
A4-020,020,Pineco,60,Grass,,Basic,One Diamond,Suwama Chiaki,"normal, reverse, holo",Wisdom of Sea and Sky,Pokémon TCG Pocket,241
A4-021,021,Shuckle ex,120,Grass,,Basic,Four Diamond,PLANETA Mochizuki,"normal, reverse, holo",Wisdom of Sea and Sky,Pokémon TCG Pocket,241
A4-022,022,Heracross,90,Grass,,Basic,Three Diamond,Naoki Saito,"normal, reverse, holo",Wisdom of Sea and Sky,Pokémon TCG Pocket,241
A4-023,023,Cherubi,50,Grass,,Basic,One Diamond,Saya Tsuruta,"normal, reverse, holo",Wisdom of Sea and Sky,Pokémon TCG Pocket,241
A4-024,024,Cherrim,80,Grass,Cherubi,Stage1,Two Diamond,Atsuko Nishida,"normal, reverse, holo",Wisdom of Sea and Sky,Pokémon TCG Pocket,241
A4-025,025,Vulpix,60,Fire,,Basic,One Diamond,Shibuzoh.,"normal, reverse, holo",Wisdom of Sea and Sky,Pokémon TCG Pocket,241
A4-026,026,Ninetales,100,Fire,Vulpix,Stage1,Three Diamond,AKIRA EGAWA,"normal, reverse, holo",Wisdom of Sea and Sky,Pokémon TCG Pocket,241
A4-027,027,Cyndaquil,60,Fire,,Basic,One Diamond,kirisAki,"normal, reverse, holo",Wisdom of Sea and Sky,Pokémon TCG Pocket,241
A4-028,028,Quilava,80,Fire,Cyndaquil,Stage1,Two Diamond,Shin Nagasawa,"normal, reverse, holo",Wisdom of Sea and Sky,Pokémon TCG Pocket,241
A4-029,029,Typhlosion,140,Fire,Quilava,Stage2,Three Diamond,Hideki Ishikawa,"normal, reverse, holo",Wisdom of Sea and Sky,Pokémon TCG Pocket,241
A4-030,030,Slugma,70,Fire,,Basic,One Diamond,Mékayu,"normal, reverse, holo",Wisdom of Sea and Sky,Pokémon TCG Pocket,241
A4-031,031,Magcargo,120,Fire,Slugma,Stage1,Two Diamond,Shigenori Negishi,"normal, reverse, holo",Wisdom of Sea and Sky,Pokémon TCG Pocket,241
A4-032,032,Magby,30,Fire,,Basic,Three Diamond,Yukiko Baba,"normal, reverse, holo",Wisdom of Sea and Sky,Pokémon TCG Pocket,241
A4-033,033,Entei,110,Fire,,Basic,Three Diamond,kodama,"normal, reverse, holo",Wisdom of Sea and Sky,Pokémon TCG Pocket,241
A4-034,034,Ho-Oh ex,150,Fire,,Basic,Four Diamond,PLANETA CG Works,"normal, reverse, holo",Wisdom of Sea and Sky,Pokémon TCG Pocket,241
