id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
tk-xy-n-1,1,Spoink,60,Psychic,,Basic,Common,,"normal, reverse, holo",XY trainer Kit (Noivern),Trainer kits,30
tk-xy-n-2,2,Gourgeist,100,Psychic,Pumpkaboo,Stage1,Rare,,"normal, reverse, holo",XY trainer Kit (Noivern),Trainer kits,30
tk-xy-n-3,3,Arbok,90,Psychic,Ekans,Stage1,Rare,,"normal, reverse, holo",XY trainer Kit (Noivern),Trainer kits,30
tk-xy-n-4,4,Bunnelby,60,Colorless,,Basic,Common,,"normal, reverse, holo",XY trainer Kit (Noivern),Trainer kits,30
tk-xy-n-5,5,Psychic Energy,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Noivern),Trainer kits,30
tk-xy-n-6,6,Psychic Energy,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Noivern),Trainer kits,30
tk-xy-n-7,7,Psychic Energy,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Noivern),Trainer kits,30
tk-xy-n-8,8,Psychic Energy,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Noivern),Trainer kits,30
tk-xy-n-9,9,Psychic Energy,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Noivern),Trainer kits,30
tk-xy-n-10,10,Psychic Energy,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Noivern),Trainer kits,30
tk-xy-n-11,11,Pumpkaboo,60,Psychic,,Basic,Common,,"normal, reverse, holo",XY trainer Kit (Noivern),Trainer kits,30
tk-xy-n-12,12,Noibat,60,Colorless,,Basic,Common,,"normal, reverse, holo",XY trainer Kit (Noivern),Trainer kits,30
tk-xy-n-13,13,Noivern,110,Dragon,Noibat,Stage1,None,5ban Graphics,"normal, reverse, holo",XY trainer Kit (Noivern),Trainer kits,30
tk-xy-n-14,14,Pokémon Catcher,,,,,Uncommon,,"normal, reverse, holo",XY trainer Kit (Noivern),Trainer kits,30
tk-xy-n-15,15,Potion,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Noivern),Trainer kits,30
tk-xy-n-16,16,Ekans,70,Psychic,,Basic,Common,,"normal, reverse, holo",XY trainer Kit (Noivern),Trainer kits,30
tk-xy-n-17,17,Psychic Energy,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Noivern),Trainer kits,30
tk-xy-n-18,18,Pumpkaboo,60,Psychic,,Basic,Common,,"normal, reverse, holo",XY trainer Kit (Noivern),Trainer kits,30
tk-xy-n-19,19,Darkness Energy,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Noivern),Trainer kits,30
tk-xy-n-20,20,Furfrou,90,Colorless,,Basic,Common,,"normal, reverse, holo",XY trainer Kit (Noivern),Trainer kits,30
tk-xy-n-21,21,Poké Ball,,,,,Uncommon,,"normal, reverse, holo",XY trainer Kit (Noivern),Trainer kits,30
tk-xy-n-22,22,Darkness Energy,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Noivern),Trainer kits,30
tk-xy-n-23,23,Noibat,60,Colorless,,Basic,Common,,"normal, reverse, holo",XY trainer Kit (Noivern),Trainer kits,30
tk-xy-n-24,24,Professor’s Letter,,,,,Uncommon,,"normal, reverse, holo",XY trainer Kit (Noivern),Trainer kits,30
tk-xy-n-25,25,Psychic Energy,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Noivern),Trainer kits,30
tk-xy-n-26,26,Darkness Energy,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Noivern),Trainer kits,30
tk-xy-n-27,27,Potion,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Noivern),Trainer kits,30
tk-xy-n-28,28,Darkness Energy,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Noivern),Trainer kits,30
tk-xy-n-29,29,Switch,,,,,Common,,"normal, reverse, holo",XY trainer Kit (Noivern),Trainer kits,30
tk-xy-n-30,30,Noivern,110,Dragon,Noibat,Stage1,None,5ban Graphics,"normal, reverse, holo",XY trainer Kit (Noivern),Trainer kits,30
