id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
tk-xy-w-1,1,Sucroquin,60,Fée,,De base,Commune,,"normal, reverse, holo",XY Kit du dresseur (Grodoudou),Kits du dresseur,30
tk-xy-w-2,2,Roucoups,80,Incolore,Roucool,Niveau 1,Peu Commune,,"normal, reverse, holo",XY Kit du dresseur (Grodoudou),Kits du dresseur,30
tk-xy-w-3,3,Énergie Fée,,Fée,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Grodoudou),Kits du dresseur,30
tk-xy-w-4,4,Fouinette,50,Incolore,,De base,Commune,,"normal, reverse, holo",XY Kit du dresseur (Grodoudou),Kits du dresseur,30
tk-xy-w-5,5,Énergie Fée,,Fée,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Grodoudou),Kits du dresseur,30
tk-xy-w-6,6,Énergie Fée,,Fée,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Grodoudou),Kits du dresseur,30
tk-xy-w-7,7,Énergie Fée,,Fée,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Grodoudou),Kits du dresseur,30
tk-xy-w-8,8,Énergie Fée,,Fée,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Grodoudou),Kits du dresseur,30
tk-xy-w-9,9,Énergie Fée,,Fée,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Grodoudou),Kits du dresseur,30
tk-xy-w-10,10,Énergie Fée,,Fée,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Grodoudou),Kits du dresseur,30
tk-xy-w-11,11,Roucool,60,Incolore,,De base,Commune,,"normal, reverse, holo",XY Kit du dresseur (Grodoudou),Kits du dresseur,30
tk-xy-w-12,12,Rondoudou,60,Fée,,De base,Commune,,"normal, reverse, holo",XY Kit du dresseur (Grodoudou),Kits du dresseur,30
tk-xy-w-13,13,Mélofée,60,Fée,,De base,Commune,,"normal, reverse, holo",XY Kit du dresseur (Grodoudou),Kits du dresseur,30
tk-xy-w-14,14,Grodoudou,100,Fée,Rondoudou,Niveau 1,Rare,,"normal, reverse, holo",XY Kit du dresseur (Grodoudou),Kits du dresseur,30
tk-xy-w-15,15,Potion,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Grodoudou),Kits du dresseur,30
tk-xy-w-16,16,Mélodelfe,90,Fée,Mélofée,Niveau 1,Peu Commune,,"normal, reverse, holo",XY Kit du dresseur (Grodoudou),Kits du dresseur,30
tk-xy-w-17,17,Énergie Fée,,Fée,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Grodoudou),Kits du dresseur,30
tk-xy-w-18,18,Sucroquin,60,Fée,,De base,Commune,,"normal, reverse, holo",XY Kit du dresseur (Grodoudou),Kits du dresseur,30
tk-xy-w-19,19,Mélofée,60,Fée,,De base,Commune,,"normal, reverse, holo",XY Kit du dresseur (Grodoudou),Kits du dresseur,30
tk-xy-w-20,20,Potion,,,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Grodoudou),Kits du dresseur,30
tk-xy-w-21,21,Énergie Fée,,Fée,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Grodoudou),Kits du dresseur,30
tk-xy-w-22,22,Énergie Fée,,Fée,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Grodoudou),Kits du dresseur,30
tk-xy-w-23,23,Roucoups,80,Incolore,Roucool,Niveau 1,Peu Commune,,"normal, reverse, holo",XY Kit du dresseur (Grodoudou),Kits du dresseur,30
tk-xy-w-24,24,Trovato,,,,,Peu Commune,,"normal, reverse, holo",XY Kit du dresseur (Grodoudou),Kits du dresseur,30
tk-xy-w-25,25,Rondoudou,60,Fée,,De base,Commune,,"normal, reverse, holo",XY Kit du dresseur (Grodoudou),Kits du dresseur,30
tk-xy-w-26,26,Tierno,,,,,Peu Commune,,"normal, reverse, holo",XY Kit du dresseur (Grodoudou),Kits du dresseur,30
tk-xy-w-27,27,Énergie Fée,,Fée,,,Commune,,"normal, reverse, holo",XY Kit du dresseur (Grodoudou),Kits du dresseur,30
tk-xy-w-28,28,Mélodelfe,90,Fée,Mélofée,Niveau 1,Peu Commune,,"normal, reverse, holo",XY Kit du dresseur (Grodoudou),Kits du dresseur,30
tk-xy-w-29,29,Roucool,60,Incolore,,De base,Commune,,"normal, reverse, holo",XY Kit du dresseur (Grodoudou),Kits du dresseur,30
tk-xy-w-30,30,Grodoudou,100,Fée,Rondoudou,Niveau 1,Rare,,"normal, reverse, holo",XY Kit du dresseur (Grodoudou),Kits du dresseur,30
