Number,Japanese,English
0001,フシギダネ,Bulbasaur
0002,フシギソウ,Ivysaur
0003,フシギバナ,Venusaur
0004,ヒトカゲ,Charmander
0005,リザード,Charmeleon
0006,リザードン,Charizard
0007,ゼニガメ,Squirtle
0008,カメール,Wartortle
0009,カメックス,Blastoise
0010,キャタピー,Caterpie
0011,トランセル,Metapod
0012,バタフリー,Butterfree
0013,ビードル,Weedle
0014,コクーン,Kakuna
0015,スピアー,Beedrill
0016,ポッポ,Pidgey
0017,ピジョン,Pidgeotto
0018,ピジョット,Pidgeot
0019,コラッタ,Rattata
0020,ラッタ,Raticate
0021,オニスズメ,Spearow
0022,オニドリル,Fearow
0023,アーボ,Ekans
0024,アーボック,Arbok
0025,ピカチュウ,Pikachu
0026,ライチュウ,Raichu
0027,サンド,Sandshrew
0028,サンドパン,Sandslash
0029,ニドラン♀,Nidoran♀
0030,ニドリーナ,Nidorina
0031,ニドクイン,Nidoqueen
0032,ニドラン♂,Nidoran♂
0033,ニドリーノ,Nidorino
0034,ニドキング,Nidoking
0035,ピッピ,Clefairy
0036,ピクシー,Clefable
0037,ロコン,Vulpix
0038,キュウコン,Ninetales
0039,プリン,Jigglypuff
0040,プクリン,Wigglytuff
0041,ズバット,Zubat
0042,ゴルバット,Golbat
0043,ナゾノクサ,Oddish
0044,クサイハナ,Gloom
0045,ラフレシア,Vileplume
0046,パラス,Paras
0047,パラセクト,Parasect
0048,コンパン,Venonat
0049,モルフォン,Venomoth
0050,ディグダ,Diglett
0051,ダグトリオ,Dugtrio
0052,ニャース,Meowth
0053,ペルシアン,Persian
0054,コダック,Psyduck
0055,ゴルダック,Golduck
0056,マンキー,Mankey
0057,オコリザル,Primeape
0058,ガーディ,Growlithe
0059,ウインディ,Arcanine
0060,ニョロモ,Poliwag
0061,ニョロゾ,Poliwhirl
0062,ニョロボン,Poliwrath
0063,ケーシィ,Abra
0064,ユンゲラー,Kadabra
0065,フーディン,Alakazam
0066,ワンリキー,Machop
0067,ゴーリキー,Machoke
0068,カイリキー,Machamp
0069,マダツボミ,Bellsprout
0070,ウツドン,Weepinbell
0071,ウツボット,Victreebel
0072,メノクラゲ,Tentacool
0073,ドククラゲ,Tentacruel
0074,イシツブテ,Geodude
0075,ゴローン,Graveler
0076,ゴローニャ,Golem
0077,ポニータ,Ponyta
0078,ギャロップ,Rapidash
0079,ヤドン,Slowpoke
0080,ヤドラン,Slowbro
0081,コイル,Magnemite
0082,レアコイル,Magneton
0083,カモネギ,Farfetch'd
0084,ドードー,Doduo
0085,ドードリオ,Dodrio
0086,パウワウ,Seel
0087,ジュゴン,Dewgong
0088,ベトベター,Grimer
0089,ベトベトン,Muk
0090,シェルダー,Shellder
0091,パルシェン,Cloyster
0092,ゴース,Gastly
0093,ゴースト,Haunter
0094,ゲンガー,Gengar
0095,イワーク,Onix
0096,スリープ,Drowzee
0097,スリーパー,Hypno
0098,クラブ,Krabby
0099,キングラー,Kingler
0100,ビリリダマ,Voltorb
0101,マルマイン,Electrode
0102,タマタマ,Exeggcute
0103,ナッシー,Exeggutor
0104,カラカラ,Cubone
0105,ガラガラ,Marowak
0106,サワムラー,Hitmonlee
0107,エビワラー,Hitmonchan
0108,ベロリンガ,Lickitung
0109,ドガース,Koffing
0110,マタドガス,Weezing
0111,サイホーン,Rhyhorn
0112,サイドン,Rhydon
0113,ラッキー,Chansey
0114,モンジャラ,Tangela
0115,ガルーラ,Kangaskhan
0116,タッツー,Horsea
0117,シードラ,Seadra
0118,トサキント,Goldeen
0119,アズマオウ,Seaking
0120,ヒトデマン,Staryu
0121,スターミー,Starmie
0122,バリヤード,Mr. Mime
0123,ストライク,Scyther
0124,ルージュラ,Jynx
0125,エレブー,Electabuzz
0126,ブーバー,Magmar
0127,カイロス,Pinsir
0128,ケンタロス,Tauros
0129,コイキング,Magikarp
0130,ギャラドス,Gyarados
0131,ラプラス,Lapras
0132,メタモン,Ditto
0133,イーブイ,Eevee
0134,シャワーズ,Vaporeon
0135,サンダース,Jolteon
0136,ブースター,Flareon
0137,ポリゴン,Porygon
0138,オムナイト,Omanyte
0139,オムスター,Omastar
0140,カブト,Kabuto
0141,カブトプス,Kabutops
0142,プテラ,Aerodactyl
0143,カビゴン,Snorlax
0144,フリーザー,Articuno
0145,サンダー,Zapdos
0146,ファイヤー,Moltres
0147,ミニリュウ,Dratini
0148,ハクリュー,Dragonair
0149,カイリュー,Dragonite
0150,ミュウツー,Mewtwo
0151,ミュウ,Mew
0152,チコリータ,Chikorita
0153,ベイリーフ,Bayleef
0154,メガニウム,Meganium
