Card Name,Card Number,Set Code,Quantity,Language,Foil
Bronzong,072-004,PFL,1,FR,no
Aipom,078-094,PFL,1,FR,no
Piloswine,024-094,PFL,1,FR,no
Honchkrow,058-094,PFL,1,FR,no
Milcery,043-094,PFL,1,FR,no
Krookodile,66-004,PFL,1,FR,no
Darumaka,015-094,PFL,1,FR,no
Duraludon,074-094,PFL,1,FR,no
Gastly,054-094,PFL,1,FR,no
Wondrous Patch,094-094,PFL,1,FR,no
Flygon,053-094,PFL,1,FR,no
Ceruledge,020-094,PFL,1,FR,no
Swinub,023-094,PFL,1,FR,no
Pawmi,032-094,PFL,1,FR,no
Charmeleon,012-094,PFL,1,FR,no
Reshiram,017-094,PFL,1,FR,Reverse holo
Snubbull,037-094,PFL,1,FR,no
Sableye,059-094,PFL,1,FR,no
